key,rsrp,rsrq,sinr,cqi,ta,velocity,f,cellId
4:28,-90.75,-6.62,16.21,11.67,7.00,6.89,1815,26385408
4:29,-86.86,-5.73,15.77,11.05,7.00,10.65,1815,26385408
4:30,-86.75,-5.80,13.05,11.35,7.05,12.35,1815,26385408
5:30,-86.67,-6.33,12.33,11.67,7.00,11.03,1815,26385408
5:31,-87.00,-6.17,11.50,11.17,7.17,12.16,1815,26385408
5:32,-87.58,-7.42,11.75,11.58,7.50,12.74,1815,26385408
5:33,-85.06,-6.31,15.06,12.88,7.56,13.51,1815,26385408
5:34,-83.39,-5.61,14.94,11.94,7.67,13.60,1815,26385408
5:35,-86.29,-6.76,12.71,12.88,7.35,13.49,1815,26385408
6:36,-84.50,-5.50,10.00,10.00,5.50,11.95,1815,26385408
6:37,-84.50,-6.00,16.75,11.75,4.00,11.80,1815,29391105
6:38,-84.00,-6.50,20.50,14.00,4.00,11.62,1815,29391105
5:39,-83.19,-6.58,24.44,13.93,3.76,4.00,1815,29391105
5:40,-79.62,-6.28,25.76,13.78,3.99,0.86,1815,29391105
5:41,-77.29,-5.86,29.43,14.00,3.86,5.87,1815,29391105
4:41,-78.15,-5.62,25.31,14.12,3.88,8.12,1815,29391105
3:41,-80.48,-6.10,28.81,13.14,3.90,11.65,1815,29391105
2:41,-80.79,-5.86,25.93,14.00,3.93,13.72,1815,29391105
2:42,-80.00,-5.75,20.00,14.25,4.00,13.90,1815,29391105
1:42,-82.94,-5.44,20.31,12.44,3.94,14.45,1815,29391105
0:42,-85.32,-6.18,17.65,11.79,3.91,14.77,1815,29391105
-1:42,-90.19,-7.19,14.75,11.12,3.88,15.08,1815,29391105
-2:42,-91.62,-7.25,14.88,12.25,3.94,14.98,1815,29391105
-3:42,-89.79,-6.57,15.50,10.43,4.00,15.31,1815,29391105
-4:42,-91.29,-7.35,12.88,10.47,3.88,15.49,1815,29391105
-5:42,-92.33,-7.67,12.73,10.87,3.93,15.48,1815,29391105
-6:42,-95.18,-9.00,8.76,9.24,3.88,15.91,1815,29391105
-7:42,-97.36,-10.50,4.21,7.43,3.86,15.47,1815,29391105
-8:43,-98.33,-9.83,0.17,6.75,5.33,14.99,1815,29391105
-9:43,-95.89,-8.11,2.26,7.42,9.47,15.15,1815,28365056
-10:44,-98.12,-7.71,8.75,10.00,9.75,14.59,1815,28365056
-11:45,-101.42,-8.21,9.58,9.11,9.79,14.06,1815,28365056
-12:45,-101.26,-8.26,7.58,9.58,9.79,13.33,1815,28365056
-13:45,-100.55,-7.90,8.50,10.90,9.80,12.46,1815,28365056
-14:45,-98.36,-7.59,11.68,10.41,9.82,11.29,1815,28365056
-15:45,-95.95,-7.43,13.62,12.19,9.81,10.94,1815,28365056
-16:45,-96.24,-7.52,13.05,11.10,9.81,10.82,1815,28365056
-17:45,-98.25,-8.46,8.33,9.83,9.83,11.11,1815,28365056
-18:45,-98.58,-9.32,3.21,6.68,10.58,11.47,1815,28365056
-18:46,-95.80,-8.80,3.40,9.00,11.60,11.19,1815,29391105
-19:46,-96.40,-8.55,2.40,9.30,11.15,11.27,1815,29391105
-20:46,-99.24,-9.67,2.24,7.62,9.90,11.98,1815,29391105
-21:46,-100.32,-9.58,0.84,8.21,8.32,12.69,1815,28365056
-22:45,-100.00,-9.33,3.56,9.06,8.22,13.49,1815,28365056
-23:45,-100.05,-8.63,4.53,8.53,8.32,14.07,1815,28365056
-24:44,-97.29,-8.05,8.29,11.19,8.29,14.02,1815,28365056
-25:44,-98.25,-9.25,8.00,7.38,8.38,14.04,1815,28365056
-25:43,-100.92,-9.17,7.50,6.33,8.25,13.79,1815,28365056
-26:43,-102.84,-9.89,4.79,6.68,8.37,13.70,1815,28365056
-27:42,-102.62,-9.76,5.62,7.43,8.29,13.64,1815,28365056
-28:42,-104.43,-11.29,2.29,6.29,8.43,13.57,1815,28365056
-28:41,-104.86,-10.43,4.71,6.71,8.00,13.53,1815,28365056
-29:41,-106.30,-12.75,-0.05,6.00,8.35,13.20,1815,28365056
-30:41,-103.84,-11.53,1.63,6.16,8.37,12.91,1815,28365056
-31:41,-102.00,-10.67,3.33,8.67,8.00,12.11,1815,28365056
-31:40,-100.85,-11.10,3.45,8.75,8.30,12.78,1815,28365056
-32:40,-92.35,-9.65,8.15,11.35,8.35,11.60,1815,28365056
-33:40,-90.25,-9.91,10.03,9.18,8.10,3.27,1815,28365056
-34:40,-89.53,-9.24,6.05,8.34,8.03,0.54,1815,28365056
-34:39,-90.73,-10.76,6.70,7.95,8.08,0.44,1815,28365056
-35:39,-86.29,-9.14,5.62,8.81,5.90,4.07,1815,28365056
-35:40,-85.50,-9.21,6.71,8.86,5.89,7.31,1815,28365056
-35:41,-87.36,-9.64,4.59,7.36,5.82,11.52,1815,28365056
-35:42,-87.94,-9.69,4.19,7.06,5.88,13.09,1815,28365056
-34:42,-86.50,-10.00,4.50,7.00,6.50,13.34,1815,28365056
-34:43,-87.18,-10.55,4.36,6.64,6.36,13.69,1815,28365056
-34:44,-88.46,-10.69,3.62,6.77,6.38,14.57,1815,28365056
-34:45,-88.06,-9.56,5.12,6.75,5.69,15.09,1815,28365056
-34:46,-84.86,-9.57,5.79,8.07,6.00,15.22,1815,28365056
-34:47,-84.35,-10.12,3.47,8.35,5.94,15.80,1815,28365056
-34:48,-83.93,-10.20,5.73,8.60,5.93,15.91,1815,28365056
-34:49,-84.53,-9.73,6.73,8.20,6.00,16.03,1815,28365056
-34:50,-89.12,-10.24,2.94,6.53,6.41,15.94,1815,28365056
-34:51,-89.47,-10.67,0.27,5.93,6.20,16.18,1815,28365056
-33:52,-92.00,-11.00,4.00,4.00,8.00,14.73,1815,28365056
-33:53,-93.67,-11.33,0.25,5.92,6.25,16.04,1815,28365056
-33:54,-94.69,-10.77,1.31,6.00,6.62,16.03,1815,28365056
-33:55,-95.81,-10.81,3.81,6.50,6.12,16.62,1815,28365056
-33:56,-97.47,-10.67,3.73,6.60,6.20,16.23,1815,28365056
-33:57,-98.11,-10.56,2.89,6.89,6.33,16.47,1815,28365056
-32:57,-97.75,-10.00,3.50,7.50,7.25,14.85,1815,28365056
-32:58,-99.27,-9.67,2.13,7.07,7.47,15.70,1815,28365056
-32:59,-99.53,-9.73,2.47,6.60,11.20,15.30,1815,28365056
-32:60,-99.76,-8.88,2.53,6.12,13.24,15.28,1815,28368386
-32:61,-98.21,-8.21,5.07,7.14,16.07,15.49,1815,28368386
-31:61,-99.00,-7.50,7.00,8.00,16.00,12.29,1815,28368386
-31:62,-97.00,-9.08,7.42,8.50,16.17,14.11,1815,28368386
-31:63,-99.33,-9.00,3.33,6.11,16.06,13.82,1815,28368386
-31:64,-100.53,-10.11,1.84,5.47,16.11,13.55,1815,28368386
-31:65,-101.00,-11.12,0.18,5.29,16.12,13.90,1815,28368386
-30:65,-101.00,-10.00,1.00,6.00,16.00,10.85,1815,28368386
-30:66,-100.67,-11.25,0.33,5.25,16.17,11.23,1815,28368386
