simTime,realTime,result,prediction,deltaT,payload
79.1,0.008962,15.994,15.2905,99,4.95
89.1,0.009864,9.51303,8.42537,10,0.5
99.1,0.010776,5.09013,6.94538,10,0.5
116.1,0.012345,12.9909,10.5281,17,0.85
126.1,0.013381,9.16963,8.94553,10,0.5
136.1,0.0146,11.3959,8.49003,10,0.5
197.1,0.020095,13.3942,13.123,61,3.05
207.1,0.021025,13.2379,8.87538,10,0.5
220.1,0.02238,1.74973,8.59322,13,0.65
248.1,0.024995,21.0799,12.488,28,1.4
258.1,0.02679,6.96488,8.77724,10,0.5
268.1,0.029463,14.0966,10.88,10,0.5
280.1,0.030968,24.0063,9.5071,12,0.6
290.1,0.032024,5.72246,9.45388,10,0.5
300.1,0.033056,11.1941,9.87749,10,0.5
316.1,0.03452,7.11604,9.95635,16,0.8
383.1,0.044519,4.52856,12.3794,67,3.35
394.1,0.046068,0,7.79537,11,0.55
404.1,0.04733,8.17286,7.79537,10,0.5
525.1,0.066996,21.1686,15.4576,121,6.05
546.1,0.069844,17.5364,10.0043,21,1.05
580.1,0.076519,5.81365,13.3171,34,1.7
612.1,0.080131,16.9183,12.6648,32,1.6
696.1,0.089773,13.5094,15.6102,84,4.2
706.1,0.090717,11.3885,11.249,10,0.5
716.1,0.091748,4.08581,8.71063,10,0.5
726.1,0.092797,1.39792,9.12622,10,0.5
743.1,0.094794,15.1376,10.7065,17,0.85
789.1,0.100915,13.641,9.07693,46,2.3
