simTime,realTime,result,prediction,deltaT,payload
119.3,0.016777,14.4778,17.2184,121,6.05
240.3,0.031382,11.8889,13.308,121,6.05
251.3,0.032784,5.35482,7.97204,11,0.55
329.3,0.042275,9.71605,12.5305,78,3.9
369.3,0.047315,9.27699,9.47514,40,2
490.3,0.05974,9.01942,13.9706,121,6.05
541.3,0.064691,11.4472,15.3801,51,2.55
560.3,0.066415,10.5435,8.79972,19,0.95
592.3,0.069365,6.23556,10.9717,32,1.6
606.3,15.5384,7.38455,8.09596,14,0.7
641.3,15.5428,7.19662,10.8768,35,1.75
682.3,15.5485,12.662,12.1162,41,2.05
