simTime,realTime,result,prediction,deltaT,payload
15.4,0.002576,10.0378,14.693,121,6.05
77.4,0.009034,27.5098,24.6974,62,3.1
87.4,0.009992,5.07706,8.75368,10,0.5
97.4,0.010847,10.2446,9.9803,10,0.5
111.4,0.012013,8.51859,11.2203,14,0.7
122.4,0.013246,8.50632,12.7073,11,0.55
132.4,0.014549,10.3848,9.43253,10,0.5
142.4,0.015832,4.21773,7.97066,10,0.5
197.4,0.021707,19.958,25.4654,55,2.75
208.4,0.023204,10.7719,10.1559,11,0.55
223.4,0.025375,13.8373,13.9699,15,0.75
246.4,0.028544,7.2352,16.3039,23,1.15
256.4,0.030168,10.3638,10.985,10,0.5
270.4,0.033264,10.3307,14.137,14,0.7
280.4,0.03475,8.6965,9.76686,10,0.5
290.4,0.035654,15.5589,10.2937,10,0.5
300.4,0.036574,8.05429,10.0007,10,0.5
383.4,0.047922,27.1252,26.2019,83,4.15
393.4,0.048976,7.06661,9.0301,10,0.5
407.4,0.050439,18.3964,11.7781,14,0.7
498.4,0.067795,25.6277,24.7329,91,4.55
546.4,0.076621,27.6151,24.3028,48,2.4
575.4,0.081831,16.6074,18.0458,29,1.45
685.4,0.097075,23.0181,24.4298,110,5.5
696.4,0.09876,11.3785,10.7612,11,0.55
706.4,0.100213,10.3639,10.1751,10,0.5
725.4,0.103646,14.0895,13.7542,19,0.95
736.4,0.105806,11.5536,10.7353,11,0.55
746.4,0.107065,10.7657,9.13378,10,0.5
779.4,0.112846,23.789,19.7544,33,1.65
789.4,0.114717,11.1137,8.91408,10,0.5
