simTime,realTime,result,prediction,deltaT,payload
1.8,0.000473,14.5414,11.6982,12,0.6
122.8,0.018528,17.2481,20.7888,121,6.05
243.8,0.034268,23.9229,23.2939,121,6.05
299.8,0.040154,24.6938,24.6035,56,2.8
323.8,0.043662,12.0283,16.963,24,1.2
333.8,0.044846,14.5525,9.57019,10,0.5
344.8,0.046456,7.0457,9.8453,11,0.55
465.8,0.062701,25.6891,24.9844,121,6.05
537.8,0.07074,30.9145,28.3488,72,3.6
581.8,0.075581,29.939,23.7866,44,2.2
591.8,0.076594,7.96236,8.83273,10,0.5
655.8,17.0919,21.3046,22.1521,64,3.2
