simTime,realTime,result,prediction,deltaT,payload
55.9,0.009953,9.24045,12.9192,83,4.15
90.9,0.013505,21.5236,21.0367,35,1.75
130.9,0.017543,21.5285,21.2561,40,2
179.9,0.022246,17.7139,17.559,49,2.45
210.9,0.024884,14.3166,19.5698,31,1.55
251.9,0.02859,26.6518,24.0974,41,2.05
290.9,0.032929,20.6382,24.045,39,1.95
316.9,0.03524,19.3454,18.5661,26,1.3
375.9,0.04468,23.7237,22.9102,59,2.95
405.9,0.047691,20.6499,18.9147,30,1.5
437.9,0.056738,15.0134,19.9921,32,1.6
485.9,0.063887,28.8625,24.3267,48,2.4
526.9,0.07036,23.5877,24.563,41,2.05
553.9,0.075089,23.019,17.6163,27,1.35
594.9,0.080804,24.4625,23.6254,41,2.05
623.9,0.084659,20.8724,18.3519,29,1.45
645.9,0.088409,15.6005,17.3118,22,1.1
678.9,0.092715,20.7812,19.3224,33,1.65
712.9,0.09602,23.1611,20.2046,34,1.7
741.9,0.100453,19.6787,19.0768,29,1.45
779.9,0.108125,24.7484,21.4984,38,1.9
