simTime,realTime,result,prediction,deltaT,payload
68.5,0.009462,15.268,18.6877,81,4.05
124.5,0.01718,25.5558,17.3217,56,2.8
187.5,0.025519,23.6086,22.7266,63,3.15
249.5,0.031517,20.8004,23.0142,62,3.1
298.5,0.038415,22.5107,23.5659,49,2.45
321.5,0.040949,15.8443,15.6281,23,1.15
354.5,0.044497,16.3276,21.3047,33,1.65
392.5,0.049318,14.4461,16.5436,38,1.9
427.5,0.055193,14.195,16.826,35,1.75
474.5,0.060494,22.354,20.9155,47,2.35
526.5,0.067824,20.6445,24.4663,52,2.6
572.5,0.072554,20.0704,22.7235,46,2.3
596.5,15.3522,23.5846,17.0383,24,1.2
637.5,15.3576,12.6381,14.4749,41,2.05
652.5,15.3604,9.0851,12.2106,15,0.75
