simTime,realTime,result,prediction,deltaT,payload
6.7,0.000957,1.85351,6.17954,10,0.5
16.7,0.002527,5.9693,7.32418,10,0.5
26.7,0.00396,2.20501,5.45918,10,0.5
36.7,0.005168,5.44287,6.69385,10,0.5
46.7,0.006081,11.798,12.0148,10,0.5
56.7,0.006951,2.04484,4.93401,10,0.5
66.7,0.007798,4.90421,4.31478,10,0.5
76.7,0.008724,7.12173,7.15443,10,0.5
86.7,0.009624,5.50804,6.73515,10,0.5
96.7,0.010581,7.90075,9.67225,10,0.5
106.7,0.011439,9.89623,8.44015,10,0.5
116.7,0.0123,10.1567,7.475,10,0.5
126.7,0.013201,11.67,9.61291,10,0.5
136.7,0.014277,6.46238,8.49003,10,0.5
146.7,0.015257,10.3565,7.2585,10,0.5
156.7,0.016169,5.11199,6.09519,10,0.5
166.7,0.017008,2.60156,5.58731,10,0.5
176.7,0.017921,0.781376,5.4722,10,0.5
186.7,0.018831,0.267397,7.06363,10,0.5
196.7,0.019627,7.79047,8.03152,10,0.5
206.7,0.020505,6.36999,8.87538,10,0.5
216.7,0.021459,8.19874,8.45822,10,0.5
226.7,0.022387,7.5464,8.30347,10,0.5
236.7,0.023382,3.3312,9.98451,10,0.5
246.7,0.02443,9.52182,9.45388,10,0.5
256.7,0.025554,10.3508,8.77724,10,0.5
266.7,0.027222,6.37964,10.7021,10,0.5
276.7,0.028308,3.10693,8.38282,10,0.5
286.7,0.029235,8.51897,9.39001,10,0.5
296.7,0.03012,6.12305,10.7585,10,0.5
306.7,0.031059,17.8716,9.25505,10,0.5
316.7,0.03221,14.3626,10.3325,10,0.5
326.7,0.033482,0,7.55647,10,0.5
336.7,0.034816,0,5.77925,10,0.5
346.7,0.036755,4.63238,5.47093,10,0.5
356.7,0.038423,15.2515,10.136,10,0.5
366.7,0.039948,6.51411,9.87671,10,0.5
376.7,0.04135,4.85124,7.9835,10,0.5
386.7,0.042591,2.35237,7.94193,10,0.5
396.7,0.043662,4.55619,7.14841,10,0.5
406.7,0.044657,3.53073,7.16169,10,0.5
416.7,0.047381,17.0887,10.6313,10,0.5
426.7,0.050302,14.3419,10.1965,10,0.5
436.7,0.052842,6.50733,8.37352,10,0.5
446.7,0.054511,10.3432,12.5934,10,0.5
456.7,0.056537,13.9362,10.6682,10,0.5
466.7,0.058628,7.56208,7.37393,10,0.5
476.7,0.060117,11.1008,8.84878,10,0.5
486.7,0.061651,13.7068,9.35182,10,0.5
496.7,0.063112,8.65087,10.0842,10,0.5
506.7,0.064386,5.94677,7.63238,10,0.5
516.7,0.066177,10.7197,8.5521,10,0.5
526.7,0.067976,1.66649,6.65419,10,0.5
536.7,0.069705,7.57232,6.63423,10,0.5
547.7,0.071044,1.86405,6.74831,11,0.55
557.7,0.072124,11.7421,7.71191,10,0.5
567.7,0.073985,8.9404,7.6887,10,0.5
578.7,0.075895,6.83266,10.3629,11,0.55
588.7,0.077028,9.77553,7.26477,10,0.5
598.7,0.078388,9.37929,7.72868,10,0.5
608.7,0.07964,3.86084,7.50322,10,0.5
618.7,0.080829,10.375,8.13421,10,0.5
628.7,0.081926,0,5.73079,10,0.5
638.7,0.082924,5.55471,4.83282,10,0.5
648.7,0.083808,3.65293,5.9281,10,0.5
658.7,0.08471,4.4262,5.67934,10,0.5
668.7,0.086167,8.71807,5.13808,10,0.5
678.7,0.087625,0,6.90443,10,0.5
688.7,0.088622,12.0267,7.08531,10,0.5
698.7,0.08958,8.51195,11.249,10,0.5
708.7,0.090483,6.53262,9.07199,10,0.5
718.7,0.091542,9.91036,9.82889,10,0.5
728.7,0.092771,5.47163,8.15789,10,0.5
738.7,0.094192,0,8.82597,10,0.5
748.7,0.095318,8.0922,9.66525,10,0.5
758.7,0.097001,12.5446,7.80741,10,0.5
768.7,0.098422,4.732,7.84102,10,0.5
778.7,0.099721,11.2711,8.99046,10,0.5
788.7,0.100866,13.0793,8.63796,10,0.5
