simTime,realTime,result,prediction,deltaT,payload
4.9,0.000853,5.8711,7.88589,10,0.5
14.9,0.002612,4.33852,6.60543,10,0.5
24.9,0.004067,6.04232,5.67364,10,0.5
34.9,0.0052,6.77289,6.01782,10,0.5
44.9,0.006253,3.34241,6.93831,10,0.5
54.9,0.007656,7.06084,5.55559,10,0.5
64.9,0.008657,4.07107,5.69503,10,0.5
74.9,0.009614,9.64789,6.51041,10,0.5
84.9,0.010676,4.93164,6.93256,10,0.5
94.9,0.011749,7.9691,6.6717,10,0.5
104.9,0.012858,5.31804,8.59102,10,0.5
114.9,0.014585,10.8855,7.56717,10,0.5
124.9,0.016202,1.74124,6.62158,10,0.5
134.9,0.017719,8.71433,5.83935,10,0.5
144.9,0.019095,8.25966,10.3472,10,0.5
154.9,0.020251,12.4289,9.51215,10,0.5
164.9,0.021805,12.25,11.9676,10,0.5
174.9,0.02363,7.77912,5.62674,10,0.5
184.9,0.025994,10.2485,6.18875,10,0.5
194.9,0.028359,5.69953,5.56679,10,0.5
205.9,0.029916,7.90037,7.77522,11,0.55
215.9,0.031189,6.90496,10.5836,10,0.5
225.9,0.032677,1.14222,5.63186,10,0.5
236.9,0.034203,11.5182,7.1115,11,0.55
246.9,0.035405,5.8382,7.97204,10,0.5
256.9,0.036638,16.9368,6.8953,10,0.5
266.9,0.037729,5.94188,6.16348,10,0.5
276.9,0.038673,3.85768,11.4164,10,0.5
286.9,0.039824,2.93606,7.15044,10,0.5
296.9,0.040809,6.80147,6.73526,10,0.5
306.9,0.04172,4.35728,4.31452,10,0.5
316.9,0.042929,7.1546,7.04151,10,0.5
326.9,0.044251,0.941832,7.476,10,0.5
336.9,0.045813,0,7.42104,10,0.5
346.9,0.047268,7.19377,6.66807,10,0.5
356.9,0.048575,12.4198,6.17585,10,0.5
366.9,0.049777,2.95035,6.68258,10,0.5
376.9,0.05078,6.45176,6.35153,10,0.5
386.9,0.051906,4.15886,6.81298,10,0.5
396.9,0.052973,7.51834,9.47788,10,0.5
406.9,0.054498,4.61083,10.2778,10,0.5
416.9,0.055777,3.98888,10.6787,10,0.5
426.9,0.056909,7.71323,10.0339,10,0.5
436.9,0.057881,13.5991,9.52733,10,0.5
446.9,0.059471,11.2338,11.7084,10,0.5
456.9,0.060963,10.5857,7.16555,10,0.5
466.9,0.061942,4.03548,6.98839,10,0.5
476.9,0.062919,7.00755,8.08713,10,0.5
486.9,0.063834,8.45265,6.7704,10,0.5
496.9,0.064713,0,5.93934,10,0.5
506.9,0.065723,4.36675,7.71086,10,0.5
516.9,0.066793,6.34172,8.66915,10,0.5
526.9,0.06768,4.82889,6.15855,10,0.5
536.9,0.068548,4.89495,9.63471,10,0.5
546.9,0.069711,11.2642,8.37843,10,0.5
556.9,0.070939,1.33998,9.29812,10,0.5
566.9,0.072257,10.5207,8.0878,10,0.5
576.9,0.07358,3.78247,6.95998,10,0.5
586.9,0.074927,9.55511,7.46142,10,0.5
596.9,15.3631,6.87554,7.42021,10,0.5
606.9,15.364,11.3268,8.09596,10,0.5
616.9,15.365,6.40933,5.01721,10,0.5
626.9,15.3658,2.73279,5.20148,10,0.5
636.9,15.3678,1.2739,6.44346,10,0.5
646.9,15.3695,7.57497,7.05524,10,0.5
656.9,15.371,2.20991,6.70969,10,0.5
666.9,15.3723,0,5.84085,10,0.5
676.9,15.3735,10.4729,6.19682,10,0.5
686.9,15.3745,6.74091,6.98259,10,0.5
696.9,15.3753,3.82527,7.77701,10,0.5
