simTime,realTime,result,prediction,deltaT,payload
4.8,0.000707,3.08221,8.88008,10,0.5
14.8,0.00235,6.38523,8.69378,10,0.5
24.8,0.003969,10.7766,7.93383,10,0.5
35.8,0.005351,13.034,8.7689,11,0.55
45.8,0.006353,8.74651,7.18904,10,0.5
55.8,0.007237,6.11866,7.54266,10,0.5
65.8,0.008224,1.98768,5.40841,10,0.5
75.8,0.009135,10.2806,8.51165,10,0.5
85.8,0.010086,8.76679,8.75368,10,0.5
95.8,0.010905,9.60183,10.3224,10,0.5
105.8,0.011723,12.578,9.25467,10,0.5
115.8,0.012554,11.0067,7.41649,10,0.5
125.8,0.013407,6.19979,10.495,10,0.5
135.8,0.014504,8.71024,9.76686,10,0.5
145.8,0.015508,14.1677,10.3096,10,0.5
155.8,0.016456,4.22097,7.03277,10,0.5
165.8,0.017321,14.784,8.38079,10,0.5
175.8,0.018293,5.77132,8.6976,10,0.5
185.8,0.019178,5.073,8.88169,10,0.5
195.8,0.019954,8.44858,9.60037,10,0.5
205.8,0.020788,10.2027,9.8825,10,0.5
215.8,0.021882,12.5599,9.81823,10,0.5
225.8,0.022761,12.3952,10.3275,10,0.5
235.8,0.023666,5.24027,8.11581,10,0.5
245.8,0.024565,6.22951,9.77118,10,0.5
255.8,0.025496,12.8173,10.985,10,0.5
265.8,0.027084,9.08061,9.39969,10,0.5
275.8,0.028177,11.0274,9.27728,10,0.5
285.8,0.02897,10.2634,9.68731,10,0.5
295.8,0.02984,10.4537,10.6402,10,0.5
305.8,0.030689,10.0729,9.40034,10,0.5
315.8,0.031552,5.59859,8.77314,10,0.5
325.8,0.032512,0.391516,8.74268,10,0.5
336.8,0.033866,13.9978,8.36679,11,0.55
346.8,0.035807,11.7114,7.21216,10,0.5
356.8,0.03757,8.24884,7.44077,10,0.5
366.8,0.039442,6.46807,7.27094,10,0.5
376.8,0.041243,12.1711,9.28473,10,0.5
386.8,0.042578,5.47523,9.0301,10,0.5
396.8,0.043487,15.5567,10.3947,10,0.5
406.8,0.044568,6.36192,9.0301,10,0.5
416.8,0.047023,10.8809,9.7607,10,0.5
426.8,0.049286,7.5362,8.88145,10,0.5
436.8,0.051499,13.0097,10.0145,10,0.5
446.8,0.053242,5.90337,6.90046,10,0.5
456.8,0.054721,8.97411,6.6835,10,0.5
466.8,0.056267,7.18128,6.62878,10,0.5
476.8,0.057726,10.7192,8.12569,10,0.5
486.8,0.059379,9.26674,9.3829,10,0.5
496.8,0.060532,5.59099,8.84949,10,0.5
506.8,0.061439,10.9435,9.93574,10,0.5
516.8,0.063148,6.4566,10.6325,10,0.5
526.8,0.064829,10.602,8.56323,10,0.5
536.8,0.066253,7.18423,7.42762,10,0.5
546.8,0.067431,7.24908,9.64208,10,0.5
556.8,0.068355,7.89134,7.70789,10,0.5
566.8,0.070178,5.40321,8.20511,10,0.5
576.8,0.072183,6.54546,9.54096,10,0.5
586.8,0.074076,11.0214,8.07215,10,0.5
596.8,0.0759,10.2742,8.18991,10,0.5
607.8,0.077838,13.4567,9.02868,11,0.55
617.8,0.079267,20.1735,9.32483,10,0.5
627.8,0.080545,7.47604,9.04665,10,0.5
637.8,0.08169,10.2647,8.771,10,0.5
647.8,0.083143,11.0714,9.5462,10,0.5
657.8,0.084057,6.35688,8.2281,10,0.5
667.8,0.085745,4.30592,8.37773,10,0.5
677.8,0.087726,7.22302,9.68392,10,0.5
687.8,0.089294,12.1677,9.58926,10,0.5
697.8,0.090972,7.50079,8.97505,10,0.5
707.8,0.092877,9.00592,10.1751,10,0.5
717.8,0.094726,14.6035,8.90997,10,0.5
727.8,0.096171,12.3764,9.73898,10,0.5
737.8,0.097402,12.3304,9.18208,10,0.5
747.8,0.09876,13.4324,9.51386,10,0.5
757.8,0.100611,8.47813,9.34991,10,0.5
767.8,0.102232,9.26864,8.34019,10,0.5
777.8,0.104115,6.79669,8.47941,10,0.5
787.8,0.106441,3.72316,8.91408,10,0.5
