simTime,realTime,result,prediction,deltaT,payload
0.2,0.000195,8.27837,9.01124,10,0.5
10.2,0.003112,9.68751,8.08728,10,0.5
20.2,0.004898,9.2326,8.09976,10,0.5
30.2,0.006677,7.5188,8.77638,10,0.5
40.2,0.007719,10.7375,8.08504,10,0.5
50.2,0.00926,16.2372,9.17533,10,0.5
60.2,0.010566,14.4818,8.06123,10,0.5
70.2,0.011833,12.5078,9.34619,10,0.5
80.2,0.013509,3.41917,8.19578,10,0.5
90.2,0.014857,7.20986,9.45342,10,0.5
100.2,0.015791,13.3935,9.00813,10,0.5
110.2,0.017201,12.8152,7.67282,10,0.5
120.2,0.018801,3.46032,7.64664,10,0.5
130.2,0.020196,11.9841,9.60163,10,0.5
140.2,0.021483,8.31293,7.97536,10,0.5
150.2,0.022771,6.84253,8.85427,10,0.5
160.2,0.023805,5.50815,8.58479,10,0.5
170.2,0.02468,5.68266,8.85427,10,0.5
180.2,0.025655,7.58719,8.76878,10,0.5
190.2,0.026991,3.89803,8.59877,10,0.5
200.2,0.027842,0.737228,8.52063,10,0.5
210.2,0.02877,10.6536,8.34944,10,0.5
220.2,0.029743,15.5346,11.05,10,0.5
230.2,0.031794,11.0043,8.3124,10,0.5
240.2,0.033452,6.06111,8.07589,10,0.5
250.2,0.034938,7.46674,8.46958,10,0.5
260.2,0.036516,12.5157,9.74392,10,0.5
271.2,0.03788,8.27497,9.61575,11,0.55
281.2,0.038759,4.06328,8.93188,10,0.5
291.2,0.03961,9.13332,8.85488,10,0.5
301.2,0.040686,12.9036,9.00367,10,0.5
311.2,0.041966,9.86709,8.35779,10,0.5
321.2,0.043521,9.00185,7.84415,10,0.5
331.2,0.044889,12.1077,8.65327,10,0.5
341.2,0.046145,6.65057,9.57019,10,0.5
351.2,0.047224,13.0304,9.57019,10,0.5
361.2,0.04886,10.2952,8.53168,10,0.5
371.2,0.05092,10.7808,9.132,10,0.5
381.2,0.052252,3.43883,7.48227,10,0.5
391.2,0.053813,3.21339,8.7694,10,0.5
401.2,0.055372,10.8203,8.89694,10,0.5
411.2,0.057635,8.05659,9.47576,10,0.5
421.2,0.059484,7.56616,8.68648,10,0.5
431.2,0.061108,10.7707,9.01926,10,0.5
441.2,0.062272,4.76791,7.76778,10,0.5
451.2,0.06397,3.70118,7.98685,10,0.5
461.2,0.065016,8.19768,7.60254,10,0.5
471.2,0.066388,6.36016,10.801,10,0.5
481.2,0.06849,3.11641,8.914,10,0.5
492.2,0.070081,8.3256,8.71191,11,0.55
502.2,0.070973,13.7873,8.33186,10,0.5
512.2,0.072608,6.08651,8.61443,10,0.5
522.2,0.074004,7.91308,8.68709,10,0.5
532.2,0.075116,8.7892,9.20457,10,0.5
542.2,0.076413,12.9196,9.34822,10,0.5
552.2,0.077646,9.12174,8.37888,10,0.5
562.2,0.078883,11.5927,8.37888,10,0.5
572.2,0.080309,5.78215,7.93317,10,0.5
582.2,0.081644,13.1687,9.6566,10,0.5
592.2,0.082557,12.3814,8.83273,10,0.5
602.2,16.2408,10.2127,7.64357,10,0.5
612.2,16.2416,3.99137,8.89686,10,0.5
622.2,16.2424,7.53514,7.48843,10,0.5
632.2,16.2438,9.58117,8.39858,10,0.5
642.2,16.2455,7.49584,8.35574,10,0.5
652.2,16.2471,9.63986,8.5529,10,0.5
662.2,16.2485,8.57935,9.67519,10,0.5
672.2,16.2497,8.71348,9.04016,10,0.5
682.2,16.2507,8.00923,8.51279,10,0.5
692.2,16.2517,9.24435,8.73444,10,0.5
