simTime,realTime,result,prediction,deltaT,payload
86.03,40.8967,16.2121,11.2377,107,5.35
95.734,45.7082,14.7059,13.328,10,0.5
105.734,50.5928,14.7059,7.88047,10,0.5
115.734,55.4313,14.7059,8.32992,10,0.5
200.194,95.7717,0.0657642,6.71533,48,2.4
226.963,108.707,11.9772,13.7352,63,3.15
236.739,113.503,12.8205,7.88005,10,0.5
246.737,118.174,13.5135,8.66792,10,0.5
259.746,124.319,14.1304,9.3763,13,0.65
274.751,131.491,14.7059,10.7392,15,0.75
285.738,136.707,14.4737,11.046,11,0.55
406.292,194.004,10.1351,18.697,120,6
415.734,198.381,14.7059,8.786,10,0.5
559.128,267.886,0.269752,9.044,121,6.05
573.822,275.004,15.1639,8.86083,37,1.85
627.269,300.469,0.0274813,5.115,19,0.95
671.043,322.877,11.3703,18.4017,78,3.9
680.754,327.397,9.25926,7.179,10,0.5
690.753,332.091,9.43396,10.8456,10,0.5
700.752,336.785,9.61538,10.4606,10,0.5
710.751,341.492,9.80392,10.9216,10,0.5
720.751,346.178,9.80392,10.9216,10,0.5
730.751,350.843,9.80392,7.179,10,0.5
755.813,362.6,11.0619,8.27767,25,1.25
765.75,367.549,10,7.68447,10,0.5
