simTime,realTime,result,prediction,deltaT,payload
91.099,41.5532,3.02651,11.552,121,6.05
211.975,97.2261,3.22667,7.74767,121,6.05
272.33,124.399,13.4783,10.1912,62,3.1
282.147,128.867,10.6383,7.96347,10,0.5
292.147,133.498,10.6383,7.68447,10,0.5
302.147,138.211,10.6383,7.88005,10,0.5
343.251,157.245,13.5762,10.0767,41,2.05
353.146,161.849,10.8696,7.68447,10,0.5
478.091,219.431,1.51591,11.61,121,6.05
517.256,237.428,13.7821,11.5541,43,2.15
527.145,242.025,11.1111,7.96347,10,0.5
537.145,246.644,11.1111,9.1866,10,0.5
547.134,251.191,14.7059,7.69147,10,0.5
557.134,255.764,14.7059,7.86505,10,0.5
567.134,260.241,14.7059,7.88047,10,0.5
577.134,264.857,14.7059,7.96347,10,0.5
587.134,269.406,14.7059,7.33247,10,0.5
597.134,289.574,14.7059,8.04947,10,0.5
668.32,321.885,16.1364,18.155,71,3.55
678.134,326.33,14.7059,10.1673,10,0.5
