simTime,realTime,result,prediction,deltaT,payload
50.7499,24.4938,0.619056,12.428,65,3.25
89.6409,42.9257,15.6105,22.4034,44,2.2
99.5419,47.7769,11.9246,8.92739,10,0.5
109.542,52.5122,11.9246,8.96139,10,0.5
120.545,57.7177,12.2413,8.56779,11,0.55
225.819,107.495,16.4613,28.7383,105,5.25
235.542,112.05,11.9246,8.92739,10,0.5
245.542,116.918,11.9246,9.04339,10,0.5
256.545,122.084,12.2413,8.56779,11,0.55
269.55,128.27,13.0179,8.56779,13,0.65
279.542,132.993,11.9246,8.56779,10,0.5
289.542,137.758,11.9246,8.56779,10,0.5
407.857,193.318,16.5298,29.4752,118,5.9
559.745,266.865,0.193631,14.8315,121,6.05
659.326,314.84,0.615718,20.6005,121,6.05
670.65,320.396,7.00323,13.6055,21,1.05
680.542,325.045,11.9244,10.0419,10,0.5
690.542,329.701,11.9244,10.861,10,0.5
700.542,334.434,11.9244,10.861,10,0.5
710.542,339.201,11.9244,11.8216,10,0.5
720.542,343.967,11.9244,11.8216,10,0.5
730.542,348.682,11.9244,10.0419,10,0.5
755.6,360.595,12.5086,11.3817,25,1.25
765.542,365.305,11.9244,9.82994,10,0.5
