simTime,realTime,result,prediction,deltaT,payload
90.8289,42.5777,3.13645,15.0245,121,6.05
211.736,99.8498,3.29533,17.322,121,6.05
272.119,128.033,14.1597,23.6488,62,3.1
281.943,132.594,11.6472,8.36739,10,0.5
291.943,137.228,11.6472,9.82994,10,0.5
301.943,141.846,11.6472,9.04339,10,0.5
343.048,161.455,13.8578,17.839,41,2.05
352.943,166.045,11.6468,9.82994,10,0.5
477.654,225.894,1.61164,12.386,121,6.05
517.038,244.387,15.5875,24.156,43,2.15
526.942,248.966,11.9246,8.6716,10,0.5
536.942,253.698,11.9246,10.0419,10,0.5
546.942,258.291,11.9246,7.80467,10,0.5
556.942,263.023,11.9246,8.09367,10,0.5
566.942,267.641,11.9246,8.96139,10,0.5
576.942,272.377,11.9246,8.6716,10,0.5
586.942,277.148,11.9246,7.80067,10,0.5
596.942,297.434,11.9246,8.96139,10,0.5
677.146,335.757,16.2647,26.699,80,4
