simTime,realTime,result,prediction,deltaT,payload
33.0929,15.7481,4.54591,12.193,63,3.15
90.5829,42.6096,15.853,24.6858,58,2.9
212.982,99.227,3.82444,17.666,121,6.05
246.515,114.839,15.2267,24.156,35,1.75
277.503,129.381,15.0586,22.7594,31,1.55
376.292,176.565,1.65979,15.9335,96,4.8
406.509,191.256,15.1472,24.473,33,1.65
501.92,237.355,1.00665,21.4075,91,4.55
563.799,266.193,8.27212,16.643,66,3.3
615.036,290.437,4.00988,19.949,51,2.55
664.706,314.192,8.17181,19.403,50,2.5
695.503,328.894,15.0586,23.6555,31,1.55
725.5,343.332,15.0103,23.7377,30,1.5
758.509,358.891,15.1472,23.7377,33,1.65
