simTime,realTime,result,prediction,deltaT,payload
14.0959,6.66441,2.37093,17.8925,33,1.65
112.292,54.2284,1.65979,17.145,96,4.8
183.724,89.6417,0.648018,13.279,69,3.45
264.331,128.556,4.56533,21.22,85,4.25
284.474,138.27,14.2026,16.624,21,1.05
335.668,163.233,9.5174,21.0759,51,2.55
393.752,192.903,8.24027,20.73,58,2.9
492.525,240.416,0.0911034,19.949,64,3.2
506.749,247.919,0.411297,17.9435,44,2.2
532.512,260.404,13.8479,23.7377,31,1.55
552.476,270.263,13.17,17.063,20,1
584.509,285.687,14.6882,23.6555,32,1.6
666.262,340.115,0.0745544,17.9435,49,2.45
684.598,348.926,12.8833,24.5988,51,2.55
