simTime,realTime,result,prediction,deltaT,payload
23.247,10.7126,0.0158998,9.892,10,0.5
23.368,10.8181,0.0231825,9.5432,10,0.5
23.497,10.914,0.042746,9.3288,10,0.5
23.614,10.9976,0.275634,9.5432,10,0.5
31.896,14.9518,5.20833,8.4018,10,0.5
41.973,19.7554,2.89017,9.3288,10,0.5
51.924,24.3964,4.03226,9.2178,10,0.5
61.956,29.0508,3.20513,9.226,10,0.5
71.964,33.8628,3.04878,9.3288,10,0.5
81.882,38.4052,6.09756,9.543,10,0.5
91.846,42.8854,10.8696,10.9216,10,0.5
101.845,47.6409,11.1111,10.9216,10,0.5
111.846,52.4525,10.8696,10.9216,10,0.5
121.845,57.0908,11.1111,10.9216,10,0.5
131.891,61.7685,5.49451,9.74133,10,0.5
141.955,66.469,3.22581,9.3288,10,0.5
151.916,71.1548,4.31034,9.4038,10,0.5
161.962,75.8932,3.08642,9.0442,10,0.5
172.014,80.576,2.33645,6.2518,10,0.5
182.021,85.2038,2.26244,5.977,10,0.5
192.023,89.862,2.24215,6.153,10,0.5
201.892,94.3188,5.43478,9.3992,10,0.5
211.894,98.9837,5.31915,9.4038,10,0.5
221.845,103.548,11.1111,8.571,10,0.5
231.845,108.294,11.1111,10.9216,10,0.5
241.845,112.948,11.1111,10.9216,10,0.5
251.845,117.509,11.1111,10.9216,10,0.5
261.861,122.115,8.19672,8.49733,10,0.5
271.845,126.683,11.1111,10.9216,10,0.5
281.845,131.264,11.1111,10.9216,10,0.5
291.845,135.947,11.1111,10.9216,10,0.5
301.878,140.731,6.41026,9.71433,10,0.5
311.923,145.374,4.06504,9.3288,10,0.5
321.896,149.995,5.20833,9.3048,10,0.5
331.926,154.696,3.96825,9.5432,10,0.5
405.167,188.575,0.00789054,6.6914,10,0.5
405.346,188.682,0.00933777,6.477,10,0.5
405.429,188.74,0.0114603,6.7784,10,0.5
405.484,188.79,0.0148438,4.64558,10,0.5
405.529,188.839,0.0210713,4.51975,10,0.5
405.576,188.886,0.036295,6.6914,10,0.5
405.62,188.927,0.13089,8.97767,10,0.5
411.852,191.819,9.61538,10.696,10,0.5
421.885,196.417,5.88235,8.17667,10,0.5
431.926,201.202,3.96825,6.6914,10,0.5
442.408,206.128,0.822368,5.01858,10,0.5
470.908,220,0.0261671,4.51975,10,0.5
471.798,220.545,0.05001,5.01858,10,0.5
472.497,220.965,0.71736,6.6214,10,0.5
482.025,225.482,2.22222,6.48967,10,0.5
491.98,230.31,2.77778,8.40267,10,0.5
501.915,234.959,4.34783,10.6215,10,0.5
511.994,239.676,2.57732,8.97767,10,0.5
522.536,244.66,0.679348,6.7784,10,0.5
539.25,252.476,0.0671141,5.01858,10,0.5
541.924,253.722,4.03226,5.29158,10,0.5
551.886,258.413,5.81395,5.56138,10,0.5
561.877,263.132,6.49351,6.19013,10,0.5
571.855,267.739,9.09091,11.448,10,0.5
581.875,272.39,6.66667,5.15438,10,0.5
591.874,277.081,6.75676,5.69788,10,0.5
601.878,281.709,6.41026,6.20138,10,0.5
612.016,286.521,2.31481,5.75838,10,0.5
621.91,291.194,4.54545,5.85413,10,0.5
631.883,295.816,6.0241,9.5432,10,0.5
641.914,300.458,4.38596,9.0442,10,0.5
651.888,305.006,5.68182,9.226,10,0.5
661.889,309.788,5.61798,9.4038,10,0.5
671.845,314.554,11.1111,9.1866,10,0.5
681.846,319.306,10.8696,10.9216,10,0.5
691.846,323.987,10.8696,11.8286,10,0.5
701.846,328.708,10.8696,12.1306,10,0.5
711.845,333.423,11.1111,10.9216,10,0.5
721.846,338.268,10.8696,10.9216,10,0.5
731.845,342.972,11.1111,10.9216,10,0.5
741.866,347.582,7.57576,8.5838,10,0.5
751.894,352.432,5.31915,9.0442,10,0.5
761.845,357.1,11.1111,8.3528,10,0.5
771.846,361.881,10.8696,8.2092,10,0.5
781.951,366.672,3.31126,5.56138,10,0.5
791.953,371.382,3.26797,5.75075,10,0.5
