simTime,realTime,result,prediction,deltaT,payload
0.255,0.150524,3.22581,6.15975,10,0.5
10.257,4.70809,3.18471,5.69788,10,0.5
20.259,9.34631,3.14465,5.69788,10,0.5
30.655,14.2408,0.900901,3.88575,10,0.5
40.276,18.9267,2.84091,3.58675,10,0.5
50.278,23.7352,2.80899,3.58675,10,0.5
60.245,28.4194,3.44828,4.04688,10,0.5
70.22,33.1115,4.16667,5.69688,10,0.5
80.281,37.8549,2.76243,3.88575,10,0.5
90.462,42.674,1.38122,6.13455,10,0.5
100.467,47.5635,1.3624,5.70225,10,0.5
110.467,52.4835,1.3624,5.15438,10,0.5
120.473,57.3329,1.34048,5.15438,10,0.5
130.479,62.3311,1.31926,5.15838,10,0.5
140.485,67.3341,1.2987,5.69788,10,0.5
157.715,75.8294,0.0656599,5.42388,10,0.5
160.922,77.5038,0.608273,6.24188,10,0.5
170.54,82.0588,1.13636,5.15838,10,0.5
180.419,86.7946,1.5674,6.67213,10,0.5
190.871,91.835,0.648508,5.69788,10,0.5
200.741,96.6777,0.780031,5.69788,10,0.5
210.375,101.32,1.81818,5.15838,10,0.5
220.387,106.232,1.74216,6.67213,10,0.5
230.315,110.998,2.32558,5.85413,10,0.5
240.229,115.728,3.87597,9.11313,10,0.5
250.21,120.452,4.54545,9.226,10,0.5
260.277,125.223,2.82486,9.0442,10,0.5
270.207,129.954,4.6729,9.14713,10,0.5
280.145,134.785,11.1111,9.1866,10,0.5
290.145,139.62,11.1111,10.9216,10,0.5
300.145,144.282,11.1111,9.1866,10,0.5
310.228,149.089,3.90625,9.3048,10,0.5
320.399,154.009,1.67224,6.02513,10,0.5
330.314,158.847,2.33645,9.0442,10,0.5
340.413,163.738,1.59744,6.14113,10,0.5
350.145,168.341,11.1111,9.864,10,0.5
360.144,173.038,11.3636,9.576,10,0.5
370.444,178.044,1.45349,4.67075,10,0.5
380.263,182.668,3.06748,4.67075,10,0.5
453.699,217.5,0.00786176,8.00567,10,0.5
454.029,217.717,0.00927145,6.509,10,0.5
454.331,217.93,0.0113043,5.82325,10,0.5
454.636,218.131,0.0144776,5.43838,10,0.5
454.916,218.314,0.0201483,6.02338,10,0.5
455.214,218.524,0.0330819,6.15413,10,0.5
455.545,218.752,0.0918274,8.4092,10,0.5
460.386,221.144,1.74825,9.5432,10,0.5
470.404,225.961,1.64474,9.01433,10,0.5
480.329,230.835,2.18341,9.572,10,0.5
490.27,235.65,2.94118,9.4038,10,0.5
500.214,240.412,4.38596,9.3288,10,0.5
510.242,245.221,3.52113,9.71433,10,0.5
520.145,249.957,11.1111,10.9216,10,0.5
530.145,254.611,11.1111,10.9216,10,0.5
540.145,259.313,11.1111,10.9216,10,0.5
550.146,264.046,10.8696,11.8286,10,0.5
560.145,268.873,11.1111,12.1306,10,0.5
570.145,273.67,11.1111,10.9216,10,0.5
580.146,278.582,10.8696,12.5106,10,0.5
590.145,283.371,11.1111,12.1306,10,0.5
600.144,303.654,11.3636,10.9216,10,0.5
610.21,308.437,4.54545,9.16233,10,0.5
620.195,313.314,5.26316,9.3288,10,0.5
630.241,318.161,3.5461,9.4038,10,0.5
640.353,323.169,1.97628,8.4102,10,0.5
662.313,334.226,0.04094,9.4038,10,0.5
663.122,334.709,0.165453,8.5838,10,0.5
670.166,338.1,7.57576,9.1866,10,0.5
680.159,342.999,8.47458,9.1866,10,0.5
