simTime,realTime,result,prediction,deltaT,payload
73.4959,33.4986,0.00787452,8.4405,10,0.5
73.6549,33.6125,0.00931881,8.53975,10,0.5
73.8129,33.7215,0.0114122,8.2995,10,0.5
73.9719,33.8331,0.014718,8.97575,10,0.5
74.1299,33.9433,0.0207212,10.0223,10,0.5
74.2879,34.0511,0.0349946,8.62575,10,0.5
74.4469,34.1636,0.112437,10.0147,10,0.5
80.1379,36.789,3.62502,8.62575,10,0.5
90.1239,41.4306,4.03453,10.5922,10,0.5
100.097,46.1084,5.15835,8.6015,10,0.5
110.098,50.7854,5.10574,8.62575,10,0.5
120.17,55.4439,2.94238,8.01075,10,0.5
130.17,60.1286,2.94238,8.83475,10,0.5
140.17,64.6728,2.94238,8.2995,10,0.5
150.124,69.309,4.03457,10.524,10,0.5
160.049,73.8971,10.2183,11.3054,10,0.5
170.05,78.4164,10.014,11.8216,10,0.5
180.05,83.1195,10.014,11.8216,10,0.5
190.049,87.9134,10.2183,11.8216,10,0.5
200.049,92.4703,10.2185,11.8216,10,0.5
210.124,97.1508,4.03453,9.5825,10,0.5
220.097,101.658,5.15835,8.8875,10,0.5
230.137,106.211,3.6515,8.4757,10,0.5
240.223,110.785,2.24285,10.4607,10,0.5
250.223,115.396,2.24285,8.8211,10,0.5
260.223,120.06,2.24285,8.78335,10,0.5
270.224,124.602,2.23285,10.0187,10,0.5
280.097,129.271,5.15835,8.66967,10,0.5
290.097,133.851,5.15835,8.8875,10,0.5
300.042,138.349,11.9244,11.8216,10,0.5
310.042,142.887,11.9244,11.8216,10,0.5
320.042,147.323,11.9244,11.8216,10,0.5
330.042,151.948,11.9244,11.8216,10,0.5
340.072,156.58,6.95118,8.2455,10,0.5
350.042,161.166,11.9242,11.8216,10,0.5
360.042,165.867,11.9242,11.8216,10,0.5
370.072,170.46,6.95112,8.41929,10,0.5
380.123,175.045,4.06735,9.5825,10,0.5
390.097,179.667,5.15835,9.5825,10,0.5
400.138,184.285,3.62506,8.4757,10,0.5
410.224,189.109,2.23284,9.32717,10,0.5
483.486,222.699,0.00787576,8.4069,10,0.5
483.607,222.782,0.00932715,8.4069,10,0.5
483.667,222.831,0.0114503,9.8939,10,0.5
483.716,222.876,0.0148298,7.3639,10,0.5
483.76,222.925,0.0210438,10.0839,10,0.5
483.805,222.971,0.0362189,8.6214,10,0.5
483.84,223.003,0.130211,11.5238,10,0.5
490.05,225.827,10.0142,11.5238,10,0.5
500.073,230.518,6.85587,8.9884,10,0.5
510.169,235.198,2.9598,10.0839,10,0.5
544.582,251.138,0.0203401,6.9809,10,0.5
545.405,251.614,0.0324571,6.9809,10,0.5
546.223,252.105,0.080348,7.3639,10,0.5
550.523,254.146,0.956153,8.4069,10,0.5
560.138,258.68,3.62502,9.2944,10,0.5
570.138,263.258,3.62506,8.8264,10,0.5
580.225,267.85,2.22292,7.7134,10,0.5
590.321,272.446,1.55798,9.1134,10,0.5
615.481,284.246,0.0322978,7.6219,10,0.5
615.587,284.324,0.0894946,5.03217,10,0.5
620.089,286.401,5.62239,8.9404,10,0.5
630.079,291.051,6.33481,8.1271,10,0.5
640.063,295.648,7.94522,10.4607,10,0.5
650.058,300.267,8.63097,10.4101,10,0.5
660.07,304.947,7.14999,9.4691,10,0.5
670.086,309.634,5.81868,8.2845,10,0.5
680.322,314.443,1.55314,9.1015,10,0.5
690.17,318.925,2.94241,9.8465,10,0.5
700.123,323.626,4.06735,10.4607,10,0.5
710.083,328.208,6.02917,10.3002,10,0.5
720.123,332.734,4.06735,8.53975,10,0.5
730.098,337.237,5.10568,8.2995,10,0.5
740.073,341.758,6.85587,9.5825,10,0.5
750.048,346.232,10.4315,12.0109,10,0.5
760.05,350.71,10.0138,11.8216,10,0.5
770.049,355.274,10.2186,10.6717,10,0.5
780.049,359.809,10.2183,11.6403,10,0.5
790.049,364.411,10.2185,11.8216,10,0.5
800.049,368.957,10.2186,11.8216,10,0.5
810.042,373.613,11.9244,12.0109,10,0.5
820.097,378.279,5.15835,10.3002,10,0.5
830.042,382.798,11.9244,8.94979,10,0.5
840.042,387.315,11.9244,8.61378,10,0.5
850.169,391.986,2.9598,10.4101,10,0.5
860.224,396.636,2.23285,8.1271,10,0.5
870.224,401.312,2.23285,7.9246,10,0.5
