simTime,realTime,result,prediction,deltaT,payload
5.22393,2.56442,2.23285,9.2666,10,0.5
15.2239,7.21403,2.23285,9.2666,10,0.5
25.3179,12.1436,1.57267,8.6966,10,0.5
36.4669,17.5376,0.340848,5.9076,10,0.5
45.2249,21.5973,2.22291,6.1081,10,0.5
55.2239,26.2491,2.23285,5.8221,10,0.5
65.1699,31.0466,2.94241,6.9711,10,0.5
75.1229,35.9933,4.06735,8.8481,10,0.5
86.7429,41.7161,0.286873,5.7216,10,0.5
95.5239,46.0346,0.954328,8.1271,10,0.5
105.524,50.7659,0.954328,9.4691,10,0.5
115.524,55.5047,0.954328,9.4691,10,0.5
125.524,60.3086,0.954328,9.4691,10,0.5
135.524,65.1665,0.954328,9.4691,10,0.5
157.345,75.8916,0.0405025,5.67377,10,0.5
158.166,76.4045,0.157932,7.9481,10,0.5
165.521,79.8823,0.959824,9.6651,10,0.5
175.322,84.5027,1.55314,10.2431,10,0.5
185.321,89.3565,1.55797,8.8481,10,0.5
195.838,94.4344,0.596709,9.6651,10,0.5
205.522,99.1283,0.957985,9.2666,10,0.5
215.321,103.871,1.55798,10.2431,10,0.5
225.226,108.48,2.21309,10.4101,10,0.5
235.17,113.236,2.94241,10.4607,10,0.5
245.138,117.948,3.62506,8.22275,10,0.5
255.211,122.728,2.37047,10.4101,10,0.5
265.17,127.617,2.94238,8.8167,10,0.5
275.05,132.265,10.014,10.0419,10,0.5
285.049,137.062,10.2183,11.8216,10,0.5
295.049,142.016,10.2183,11.8216,10,0.5
305.05,146.963,10.014,10.0419,10,0.5
315.171,151.817,2.92517,8.8167,10,0.5
325.139,156.65,3.59896,8.8167,10,0.5
335.226,161.616,2.21307,10.4101,10,0.5
345.049,166.223,10.2186,8.2455,10,0.5
355.042,171.103,11.9244,8.7345,10,0.5
366.562,176.775,0.320117,5.9076,10,0.5
375.512,181.099,0.976698,5.9076,10,0.5
448.762,216.795,0.00784167,5.9076,10,0.5
449.069,216.998,0.00924746,6.1706,10,0.5
449.375,217.209,0.0112676,6.203,10,0.5
449.682,217.412,0.0144167,7.1265,10,0.5
449.988,217.61,0.0200097,7.3845,10,0.5
450.296,217.816,0.0326884,9.8465,10,0.5
450.604,218.039,0.0892231,9.5725,10,0.5
455.321,220.353,1.55798,8.0855,10,0.5
465.321,225.115,1.55798,8.62575,10,0.5
475.319,229.953,1.56775,8.5115,10,0.5
485.319,234.89,1.56775,8.4757,10,0.5
495.17,239.801,2.94241,9.5825,10,0.5
505.225,244.543,2.22292,10.524,10,0.5
515.123,249.498,4.06735,8.7345,10,0.5
525.048,254.263,10.4315,11.8216,10,0.5
535.048,259.014,10.4315,11.8216,10,0.5
545.05,263.857,10.0138,11.8216,10,0.5
555.049,268.829,10.2186,10.6717,10,0.5
565.049,273.548,10.2183,11.8216,10,0.5
575.049,278.265,10.2185,11.8216,10,0.5
585.049,283.181,10.2186,10.6717,10,0.5
595.042,303.547,11.9244,10.6717,10,0.5
605.122,308.262,4.10071,8.7345,10,0.5
615.223,312.966,2.24285,10.67,10,0.5
625.169,317.724,2.9598,9.69683,10,0.5
635.318,322.675,1.57268,8.4757,10,0.5
662.513,335.868,0.0285503,8.8167,10,0.5
663.336,336.387,0.0599813,10.67,10,0.5
665.665,337.607,0.751959,7.416,10,0.5
675.061,342.132,8.2061,12.0109,10,0.5
685.056,347.005,8.9396,10.0419,10,0.5
